VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
,,,Mesa Verde 1938(Nps),,230,,5MV1938,,230; 987,,CMV,,,Yes
,,,,5MV1938,987,,5MV1938,,230; 987,,CMV,,,Yes
,,,Mesa Verde 1940(Nps),,231,,5MV1940,,231; 730,,CMV,,,Yes
,5MV1940,,Mesa Verde Site 1940,5MV1940,730,,5MV1940,,231; 730,Mesa Verde Site 1940,CMV,,,Yes
1554 Site Complex,5MT3036,,Mesa Verde 1554(Nps),,232,Mesa Verde 1554(Nps),5MT3036,,232,,CMV,,,Yes
,5MV1571,,Mesa Verde 1571(Nps),,233,,5MV1571,,233,,CMV,,,Yes
,,,Mesa Verde 1824(Nps),,234,,5MV1824,,234; 731,,CMV,,,Yes
,5MV1824,,Mesa Verde Site 1824,5MV1824,731,,5MV1824,,234; 731,Mesa Verde Site 1824,CMV,,,Yes
,,,Mesa Verde 1966(Nps),,236,,5MV1966,,236; 733,,CMV,,,Yes
,5MV1966,,Mesa Verde Site 1966,5MV1966,733,,5MV1966,,236; 733,Mesa Verde Site 1966,CMV,,,Yes
,5MT1253,,Colorado 5 Mt 1253,5MT1253,237,,5MT1253,,237; 734,,CMV,,,Yes
,,,,5MT1253,734,,,,237; 734,,CMV,,,Yes
,5MT1250,,Colorado 5 Mt 1250,5MT1250,238,,5MT1250,,238,,CMV,,,Yes
Porter and Stevenson Pueblo,5MT1,,Stevenson And Porter Pueblo,5MT1,274,Stevenson And Porter Pueblo,5MT1,,274,Porter and Stevenson Pueblo,CMV,,,Yes
,5MT3,,Yellow Jacket,5MT3,275,Joe Ben Wheat Site Complex,5MT3,,275,Yellow Jacket,CMV,,,Yes
